lag_weeks,pearson,spearman
0,0.8081787790233105,0.6174433656089747
1,0.7272007047450663,0.5464066411557886
2,0.689706298266616,0.5617186849972023
3,0.6472144828461479,0.539937032296073
4,0.592253217656345,0.5418460587672111
5,0.5262089849434474,0.5206848699278126
6,0.468130375293759,0.5266316856757624
7,0.4273021515811963,0.510822428929846
8,0.3921354325816753,0.5046427945674935
