lag_weeks,pearson,spearman
0,0.3476261755917831,0.30639045518966496
1,0.18996397474689036,0.15640303182276274
2,0.1843468030925734,0.15562459987000532
3,0.1615934474177556,0.13981938080538373
4,0.10904258666417872,0.1075279908575651
5,0.137552677577839,0.15178897735978614
6,0.12717521128121115,0.14139642541662314
7,0.1228374828834508,0.11942200422707562
8,0.11222108449076812,0.10511256671197232
